numidx,peaks_0,peaks_1,peaks_2,peaks_3,peaks_4,tapes_0,tapes_1,tapes_2,tapes_3,tapes_4,coef0_0,coef0_1,coef0_2,coef0_3,coef0_4,coef1_0,coef1_1,coef1_2,coef1_3,coef1_4
17,603,1294,2062,2920,3758,891,978,978,1175,1425,215.47,189.663,185.499,183.392,191.889,-0.0192538,0.0070726,0.00312623,0.0145663,0.0111965
18,595,1292,2060,2922,3769,890,978,977,1184,1371,218.748,180.121,186.31,182.506,185.386,-0.0171893,0.0160818,0.00384016,0.0134749,0.0100113
19,600,1295,2061,2925,3768,890,977,977,1195,1371,218.402,178.193,186.319,179.478,184.095,-0.0172152,0.018164,0.00418861,0.0126085,0.0102554
20,602,1298,2062,2923,3758,892,980,979,1174,1431,219.642,188.422,186.751,180.552,189.963,-0.0164394,0.00872297,0.00373678,0.0127771,0.0105603
21,598,1296,2061,2917,3769,891,977,980,1177,1374,220.279,190.452,186.786,185.08,182.944,-0.0167243,0.00609077,0.0037098,0.0149383,0.00975222
22,599,1296,2063,2918,3760,891,978,979,1186,1405,218.385,191.128,185.448,184.227,189.682,-0.0162267,0.00532495,0.00290229,0.0146355,0.0109928
23,605,1295,2064,2913,3756,891,978,978,1235,1407,215.081,192.939,184.678,187.52,192.143,-0.0189802,0.00456955,0.00292383,0.0152986,0.0112964
24,600,1297,2065,2915,3771,891,979,979,1228,1372,217.952,202.317,183.489,186.135,181.474,-0.0171329,-0.00724179,0.00389134,0.0146682,0.00943067
25,600,1299,2064,2923,3763,891,976,978,1173,1373,221.539,172.723,185.523,180.029,185.909,-0.0163934,0.0231297,0.00396556,0.012876,0.0107618
26,599,1293,2060,2922,3771,890,977,978,1174,1372,216.723,192.548,187.094,181.178,183.524,-0.0184874,0.00427807,0.00377466,0.0150194,0.0101518
27,598,1294,2060,2918,3767,891,977,979,1213,1373,218.001,178.438,187.154,183.628,184.908,-0.0174648,0.0184362,0.00406885,0.0152842,0.0121379
28,597,1294,2058,2926,3767,891,979,979,1175,1372,219.007,191.783,188.583,177.102,185.373,-0.0176008,0.00560533,0.00439388,0.0140083,0.0114288
29,603,1298,2066,2921,3763,892,979,980,1175,1373,218.962,201.824,184.485,180.573,185.994,-0.0169783,-0.0047165,0.00246193,0.0142341,0.0104851
30,595,1293,2061,2926,3759,890,976,978,1172,1441,218.441,189.049,186.018,177.832,191.48,-0.0170749,0.00766717,0.00379857,0.013586,0.0124118
31,597,1292,2057,2922,3766,890,976,979,1191,1372,217.218,184.837,188.858,180.654,186.96,-0.0183405,0.0121582,0.00442221,0.0146229,0.0114584
32,598,1296,2062,2927,3757,891,979,978,1175,1407,219.541,198.275,186.336,176.495,191.307,-0.016972,-0.00163458,0.00406985,0.0129756,0.0113892
33,595,1297,2062,2923,3764,891,980,978,1174,1376,221.768,192.413,185.975,179.024,185.671,-0.0157414,0.0035881,0.00428309,0.0140717,0.0119908
34,579,1294,2064,2926,3761,889,979,980,1172,1405,229.905,192.712,184.26,178.412,190.71,-0.0129459,0.00347916,0.00316842,0.0123046,0.0111046
35,599,1289,2064,2925,3761,890,976,977,1173,1406,215.544,182.638,184.394,178.454,191.134,-0.0191209,0.0176462,0.00195099,0.0133371,0.0108745
36,596,1293,2063,2927,3766,889,978,976,1172,1372,217.755,195.59,184.793,175.945,186.644,-0.0180989,0.00140744,0.00373215,0.0139567,0.0124381
37,592,1293,2062,2923,3768,890,977,977,1174,1395,220.436,191.063,185.317,179.546,184.977,-0.016634,0.00608817,0.00407059,0.0148514,0.0125751
38,597,1294,2063,2913,3769,890,978,978,1171,1372,218.113,189.657,185.615,187.302,183.663,-0.0175328,0.00751843,0.00248122,0.0151829,0.0118929
